Country,Adjective,Area,,Africa,Asia,Canada,Europe,Greenland,United States,Mexico,Central America,Caribbean,South America,Oceania,Antarctica
Afghanistan, Afghan,Siberia,,Ahmar,Alagalla,Adam Range,Alps,Alángup Qáqai,Adirondack Mountains,Chiapas Highlands,Cerros de Escazú,Blue Mountains,Cordillera de los Andes,Arthur Range,Allardyce Range
Albania, Albanian,Northern China,,Aberdare,Alborz,Adamant Range,Eastern Alps,Alexandrine Range,Alaska Range,Peninsular Ranges,Cordillera de Guanacaste,Central Range,Cordillera Central,Blue Mountains,Imeon Range
Algeria, Algerian,Tibetean Plateau,,Ahaggar,Al-Hajar,Alsek Ranges,Central Eastern Alps,Amitsorssûp Qulâ,Aleutian Range,Sierra de Juarez,Cordillera de Talamanca,Chaîne de la Selle,Cordillera Occidental,Flinders Ranges,Pensacola Mountains
Andorra, Andorran,Japan,,Piton de la Fournaise,Altai,Anvil Range,Bergamo Alps,Barth Range,Chigmit Mountains,Sierra de la Giganta,Cordillera de Tilarán,Cordillera Central,Cordillera Oriental,Great Dividing Range,Salvesen Range
Angola, Angolan,Australia,,Amaro,Annamite,Appalachian Mountains,Hohe Tauern,Brages Range,Neacola Mountains,Sierra de la Laguna,Cordillera Isabelia,Cordillera Septentrional,Serranía del Perijá,Hammersley Range,Tangra Mountains
Antigua and Barbuda, Antiguan,Tasmania,,Atlantika,Anti-Lebanon,Arctic Cordillera,Ankogel Group,Crown Prince Frederick Range,Amargosa Range,Sierra de San Borja,Cordillera Los Maribios,Cordillera Central,Serranía de los Churumbelos,MacDonnell Ranges,Transantarctic Mountains
Argentina, Argentine,Africa,,Atlas,Aravalli,Geodetic Hills,Defereggen Mountains,Daly Range,Appalachian Mountains,Sierra de San Francisco,Cordillera Central,Dry Harbour Mountains,Cordillera Real,Pelion Range,Queen Maud Mountains
Armenia, Armenian,Andes,,Anti-Atlas,Asir,Asulkan Range,Grossglockner,Didrik Pining Range,Appalachian Plateau,Sierra San Pedro Martir,Maya Mountains,John Crow Mountains,Cordillera Occidental,Stirling Range,Bush Mountains
Australia, Australian,Central America,,Aurès Mountains,Barisan,Badshot Range,Goldberg Group,Ejnar Mikkelsen Range,Catskill Mountains,Sierra Madre de Chiapas,Sierra de Chinajá,Massif de la Hotte,Cordillera Occidental,Jayawijaya Mountains,Commonwealth Range
Austria, Austrian,America,,High Atlas,Caraballo,Baffin Mountains,Granatspitz Group,Ellemands Range,Cumberland Mountains,Sierra Madre del Sur,Sierra de Chuacús,Massif du Nord,Cordillera Blanca,Arfak Mountains,Dominion Range
Azerbaijan, Azerbaijani,Europe,,Middle Atlas,Cardamom,Battle Range,Hafner Group,Fynske Alps,Eastern Kentucky Coalfield,Sierra Madre Occidental,Sierra de los Cuchumatanes,Mocho Mountains,Cordillera Huayhuash,New Zealand,Gothic Mountains
The Bahamas, Bahamian,Northern America,,Saharan Atlas,Carmel,Beaufort Range,Kreuzeck Group,Giesecke Range,Pine Mountains,Sierra Fría,Sierra del Merendón,Montagnes Noires,Cordillera Negra,Arrowsmith Range,Green Range
Bahrain, Bahraini,Antarctica,,Tell Atlas,Caucasus,Big Bend Ranges,Rieserferner Group,Graah Mountains,Log Mountains,Sierra los Huicholes,Sierra Madre de Chiapas,Northern Range,Cordillera Central,Ben Ohau Range,Herbert Range
Bangladesh, Bangladeshi,Arctic,,Bale Mountains,Chersky Range,Big Salmon Range,Schober Group,Gronau Nunataks,Allegheny Mountains,Sierra de Morones,,Sierra de Baoruco,Cordillera Oriental,Blue Mountains,Prince Olav Mountains
Barbados, Barbadian,Mediterranean,,Bakossi ,Chittagong Hill Tracts,Blackwelder Mountains,Venediger Group,Grønne Range,Pocono Mountains,Sierra Tarahumara,,Sierra de Cayey,Cordillera Central,Bombay Hills,Hughes Range
Belarus, Belarusian,Temperate,,Blue Mountains,Cordillera Central,Blue Mountains,Kitzbühel Alps,H. H. Benedict Range,Shaver's Fork Mountains,Sierra Madre Oriental,,Sierra de Luquillo,Cordillera Real,Butler Range (Canterbury),Supporters Range
Belgium, Belgian,Fennoscandia,,Bvumba,Crocker Range,Bonanza Range,Niedere Tauern,Halle Range,Appalachian Uplands,Sierra del Burro,,Sierra del Escambray,Cordillera Oriental,Butler Range (West Coast),Theron Mountains
Belize, Belizean,Asia,,Cal Madow,Dieng Volcanic Complex,Bonnet Plume Range,Ötztal Alps,Haug Range,New Brunswick Highlands,Sierra del Carmen,,Sierra Maestra,Serranía de Charagua,Cameron Mountains,Heimefront Range
Benin, Beninese,Canada,,Cederberg,Dzhugdzhur Mountains,Bonnington Range,Rhaetian Alps,Heywood Range,New England Uplands,Sierra Norte de Puebla,,Sierra del Rosario,Serranía del Aguaragüe,Catlins Range,Borg Massif
Bhutan, Bhutanese,Greenland,,Danakil Alps,Eastern Ghats,Britannia Range,Albula Range,Hjelm Range,Belknap Mountains,Sierra de Tamaulipas,,,Cordillera Occidental,Coromandel Range,Fimbulheimen
Bolivia, Bolivian,United States,,Drakensber,Fansipan,British Empire Range,Bernina Range,Kangerluluk Range,Berkshires Mountains,Trans-Mexican Volcanic Belt,,,Cordillera de Lípez,Craigieburn Range,Gburek Peaks
Bosnia and Herzegovina, Bosnian,Mexico,,Eastern Arc,Haraz,British Mountains,Bregaglia Range,Knud Rasmussen Range,Green Mountains,Tuxtla Mountains,,,Cordillera Domeyko,Crown Range,Sverdrup Mountains
Botswana, Botswanan,Caribbean,,Eastern Highlands,Hijaz,Bruce Mountains,Livigno Range,Lacroix Range,Holyoke Range,,,,Cordón de Lila,Dark Cloud Range,Gjelsvik Mountains
Brazil, Brazilian,Oceania,,Entoto Mountains,Himalaya,Byam Martin Mountains,Oberhalbstein Range,Lemon Range,Hoosac Range,,,,Sierra de Almeida,Darran Mountains,Mühlig-Hofmann Mountains
Brunei, Bruneian,Tundra,,Erta Ale Range,Lesser Himalaya,Cadwallader Range,Plessur Range,Lilloise Range,Longfellow Mountains,,,,Sierra de Famatina,Dunstan Mountains,Orvin Mountains
Bulgaria, Bulgarian,Ural,,Golis,Mahabharat Range,Camelsfoot Range,Samnaun Alps,Lindbergh Range,Metacomet Ridge Mountains,,,,Frontal Cordillera,Earl Mountains,Filchner Mountains
Burkina Faso, Burkinabe,Tibet,,Khufleh Range,Churia Hills,Cameron Range,Sesvenna Range,Mols Range,Mount Tom Range,,,,Principal Cordillera,Franklin Mountains,Drygalski Mountains
Burundi, Burundian,European,,Kilimanjaro,Siwalik Range,Canadian Rockies,Silvretta,Murchison Range,Ossipee Mountains,,,,Cordillera de la Ramada,Glasgow Range,Kurze Mountains
Cabo Verde, Cape Verdean,Siberian,,Meru,Hindu Kush,Cantilever Range,Rätikon,Musk Ox Mountains,Taconic Mountains,,,,Sierra de Velasco,Hakarimata Range,Gagarin Mountains
Cambodia, Cambodian,American,,Kipengere,Japanese Alps,Cariboo Mountains,Stubai Alps,Norlund Alps,Wapack Range,,,,Cordillera de Talinay,Hapuakohe Range,Conrad Mountains
